Neighborhood,Reference,Distance
random,training,3.083347368983638
random,training,3.122652501705709
random,training,3.1714359175804496
random,training,3.128319877338373
random,training,3.1646106018881266
random,training,3.152880274349709
random,training,3.1322291795679713
random,training,3.1422684190609123
random,training,3.168772740018882
random,training,3.1222569433015788
random,training,3.1109470928369323
random,training,3.1151934984882326
random,training,3.1132688913750544
random,training,3.1203823335099092
random,training,3.090210839336154
random,training,3.032533104274461
random,training,3.0681009159694965
random,training,3.0276724181066546
random,training,3.057807569082797
random,training,3.019338969292781
random,training,3.040315727404968
random,training,3.01949298456947
random,training,3.0706128843380576
random,training,3.1476725547581914
random,training,3.1077828744698968
random,training,3.0950352584670777
random,training,3.0311385615543576
random,training,3.0433235800996745
random,training,3.0527275159137166
random,training,2.941146341371858
random,training,2.9842918843051116
random,training,2.9773295746219204
random,training,2.98824774253593
random,training,3.021737714317374
random,training,3.022605181432102
random,training,2.999473569779815
random,training,3.100231453519301
random,training,3.084331040187587
random,training,3.003587673908853
random,training,3.0124527429172336
random,training,3.027171640192591
random,training,3.0550759867942365
random,training,3.090184893512184
random,training,3.0882089345963353
random,training,3.0828912432474294
random,training,3.166034299131185
random,training,3.063867030055385
random,training,3.1387111848957194
random,training,3.0942301866041246
random,training,3.0742354384181683
random,training,3.0186553006521137
random,training,2.998947716206831
random,training,2.9460553525558337
random,training,2.874996720600677
random,training,2.9209704691740375
random,training,2.948881012925629
random,training,2.9884963764968773
random,training,2.9542313988737585
random,training,2.953542296675989
random,training,2.9672222536041075
random,training,2.917442327658321
random,training,2.907303238311115
random,training,2.89687378892877
random,training,2.871855775498295
random,training,2.9309176103257704
random,training,3.039613629184944
random,training,3.014041191032992
random,training,3.0346547141648377
random,training,2.9908391304564996
random,training,3.0526094667291876
random,training,3.0227854066029347
random,training,3.037070902425784
random,training,3.009688265516525
random,training,3.039294188840459
random,training,3.0359816613491586
random,training,3.046253985431221
random,training,3.0440260708509355
random,training,3.0556875588257655
random,training,3.034800120761277
random,training,2.9987351797425874
random,training,2.993737446274932
random,training,3.0041047262304352
random,training,3.1030379446708434
random,training,3.1216989056558724
random,training,3.104445357607759
random,training,3.118574265420271
random,training,3.0873084348637083
random,training,3.0772935069018414
random,training,3.139604092275491
random,training,3.1755588388070874
random,training,3.1540605097845997
random,training,3.2270609994302646
random,training,3.239414904349279
random,training,3.193235810877904
random,training,3.1438411525852077
random,training,3.1951989445285887
random,training,3.1952750831541237
random,training,3.215824230217509
random,training,3.195669468753523
random,training,3.2064909626620612
random,training,3.151803922280118
random,training,3.1187312377804144
random,training,3.1613223926416425
random,training,3.144951224179364
random,training,3.187840878485831
random,training,3.205348838356917
random,training,3.1796244939614002
random,training,3.2038830646550394
random,training,3.122289870934856
random,training,3.1434960383640926
random,training,3.1557600503688055
random,training,3.109824724767981
random,training,3.1099897107570103
random,training,3.1195587348155853
random,training,3.0722148886927068
random,training,2.9796353448440014
random,training,3.069168004920503
random,training,3.0373737215843306
random,training,2.9387302085286597
random,training,2.9658808993220585
random,training,2.9191941820110987
random,training,2.9334888692342242
random,training,2.8699638754699355
random,training,2.9058234081349843
random,training,2.910677720455449
random,training,2.9505196097153368
random,training,2.932122889468218
random,training,2.947513380537586
random,training,2.9673376570397894
random,training,2.982433591907845
random,training,3.052004949246373
random,training,3.042685597386244
random,training,3.0826444058899103
random,training,3.033897471909766
random,training,3.0474707228618545
random,training,3.094136956104505
random,training,3.0703738642984786
random,training,3.0125185151798286
random,training,3.014685426285662
random,training,3.0655882351687036
random,training,3.058759915862649
random,training,3.0493964284977513
random,training,3.0209754537143425
random,training,3.0175798974795827
random,training,2.964667077928094
random,training,2.9489201792512523
random,training,3.0178995872873333
random,training,3.015457508132154
random,training,2.9597230013984035
random,training,2.960615358403182
random,training,2.9899757511568787
random,training,3.027311550706323
random,training,3.0012527654391064
random,training,2.996853374240783
random,training,3.0118242360788723
random,training,3.0009338817423696
random,training,2.950380679802241
random,training,3.0215036161282787
random,training,2.9880517474374333
random,training,3.0279432761989913
random,training,3.027910739463655
random,training,3.003414169178249
random,training,3.120622969036802
random,training,3.096021800907289
random,training,3.0990363340715503
