Neighborhood,Reference,Distance
random,training,107.86494991685265
random,training,115.03525703405471
random,training,114.30819619732037
random,training,117.8494701162646
random,training,111.69008113182143
random,training,109.49895470482723
random,training,109.92356597455769
random,training,112.22281304221069
random,training,112.06678037198812
random,training,112.88330318775641
random,training,114.33421765738314
random,training,115.55001454307228
random,training,112.13139156152498
random,training,114.06429051472662
random,training,110.99484713588694
random,training,112.17529951552126
random,training,114.72491108141719
random,training,116.55980691183849
random,training,114.42450947486284
random,training,114.35426009095228
random,training,117.43832836136922
random,training,107.55543026396894
random,training,109.35760777883597
random,training,109.83402667641745
random,training,109.1341366696727
random,training,110.46890851935416
random,training,112.73411844946298
random,training,110.23810296638786
random,training,106.1764333443663
random,training,101.81814084829564
random,training,97.3909778221075
random,training,100.57390517368768
random,training,103.83920359995474
random,training,104.27016213258477
random,training,104.36928461216614
random,training,103.6317212086846
random,training,106.87339598439374
random,training,106.89589949385407
random,training,103.95082845247791
random,training,103.94541762133737
random,training,111.73786814218563
random,training,110.34312151727649
random,training,106.41056931401361
random,training,108.35550250230779
random,training,110.83078128980246
random,training,111.3398093401396
random,training,116.93967481984046
random,training,113.7926519347879
random,training,113.5797340283964
random,training,115.22256569263565
random,training,118.997009509831
random,training,118.46077280409422
random,training,110.05233375184422
random,training,115.10458885534635
random,training,112.19404286526273
random,training,114.90349047997057
random,training,118.2335469763074
random,training,122.08216023372871
random,training,121.3550201739969
random,training,118.37589977845046
random,training,120.69542434241293
random,training,123.88086904318169
random,training,121.78516394086596
random,training,119.32661680234786
random,training,118.93183712565373
random,training,120.4553137782104
random,training,119.75671340307962
random,training,115.65399300116937
random,training,114.04102625316801
random,training,121.14282436995295
random,training,119.33155925610748
random,training,121.42400321875313
random,training,117.04486364457075
random,training,115.04285464359288
random,training,110.51114067109276
random,training,111.93271475089307
random,training,107.46458142850808
random,training,107.21294782459665
random,training,109.95745347757817
random,training,106.1231994354864
random,training,110.82639951287236
random,training,115.06152627973432
random,training,111.30597705279044
random,training,113.47045698984398
random,training,114.30039582006356
random,training,111.94555040517999
random,training,115.34750028588586
random,training,109.90714464055374
random,training,104.33979319347955
random,training,109.64063548823296
random,training,105.9952274689482
random,training,105.15838505025339
random,training,105.47794976162116
random,training,102.55155698031446
random,training,109.73738301515094
random,training,112.13147131350655
random,training,116.91802917659373
random,training,116.91412978784997
random,training,114.64127780632333
random,training,115.00579724999649
random,training,115.67438285858444
random,training,118.4572969097984
random,training,116.16509614710063
random,training,116.35108128242426
random,training,118.29035736425149
random,training,120.50529561532417
random,training,120.02352982756925
random,training,114.74091479142646
random,training,114.55461349117506
random,training,115.47098738998429
random,training,118.13593814426348
random,training,115.76219347965902
random,training,114.01926169994178
random,training,111.88570259292563
random,training,119.43184514745928
random,training,120.78624514841789
random,training,123.14664615740183
random,training,115.30624064185643
random,training,121.70087040905655
random,training,123.34466664975388
random,training,124.7055248453678
random,training,126.6992927816146
random,training,126.31057044704967
random,training,129.1955397069135
random,training,127.35357038032176
random,training,119.79700611995882
random,training,120.97726389392638
random,training,123.60945148746576
random,training,122.03417040812523
random,training,125.40150051607989
random,training,123.54550822272988
random,training,125.15889576485064
random,training,117.42059061213287
random,training,113.64192823669144
random,training,115.7938980401728
random,training,116.18562599613732
random,training,121.95237323817297
random,training,118.70342535075746
random,training,122.87860592407523
random,training,118.78730318170822
random,training,120.31385804125406
random,training,118.36726526064251
random,training,115.23446277171244
random,training,116.54793838285542
random,training,123.18709933984864
random,training,122.08761458568519
random,training,117.33451897168008
random,training,116.76086341177258
random,training,118.35727956092768
random,training,115.9028141557472
random,training,114.3579254065497
random,training,121.31877767653683
random,training,123.2340592034094
random,training,125.54476377014431
random,training,125.28027571859825
random,training,120.60542473675865
random,training,120.56706811691066
random,training,116.87401162313947
random,training,112.41949540003219
random,training,115.07192990292143
random,training,121.82663606550932
random,training,119.73887939469802
random,training,111.98474439555575
random,training,115.44837273529077
random,training,114.34029719909519
random,training,113.92562131711549
random,training,111.14461695653347
random,training,105.91968555918174
random,training,102.69867258443529
random,training,98.27615801662333
random,training,100.98755576009938
random,training,108.26030763176529
random,training,106.66902073721538
random,training,110.46527457274247
random,training,113.10467502441483
random,training,116.84390767684057
random,training,113.57215113615808
